Unidades territoriales;Indicadores de renta media;Periodo;Total
2100802001 Aroche sección 02001;Renta media por persona ;2015;6.368
2100802001 Aroche sección 02001;Renta media por hogar;2017;16.459
2100802001 Aroche sección 02001;Renta media por hogar;2016;16.293
2100802001 Aroche sección 02001;Renta media por hogar;2015;16.161
2100803 Aroche distrito 03;Renta media por persona ;2017;7.378
2100803 Aroche distrito 03;Renta media por persona ;2016;7.203
2100803 Aroche distrito 03;Renta media por persona ;2015;6.721
2100803 Aroche distrito 03;Renta media por hogar;2017;17.012
2100803 Aroche distrito 03;Renta media por hogar;2016;16.627
2100803 Aroche distrito 03;Renta media por hogar;2015;15.851
2100803001 Aroche sección 03001;Renta media por persona ;2017;7.378
2100803001 Aroche sección 03001;Renta media por persona ;2016;7.203
2100803001 Aroche sección 03001;Renta media por persona ;2015;6.721
2100803001 Aroche sección 03001;Renta media por hogar;2017;17.012
2100803001 Aroche sección 03001;Renta media por hogar;2016;16.627
2100803001 Aroche sección 03001;Renta media por hogar;2015;15.851
21009 Arroyomolinos de León;Renta media por persona ;2017;6.667
21009 Arroyomolinos de León;Renta media por persona ;2016;6.373
21009 Arroyomolinos de León;Renta media por persona ;2015;6.180
21009 Arroyomolinos de León;Renta media por hogar;2017;15.142
21009 Arroyomolinos de León;Renta media por hogar;2016;14.487
21009 Arroyomolinos de León;Renta media por hogar;2015;14.261
2100901 Arroyomolinos de León distrito 01;Renta media por persona ;2017;6.667
2100901 Arroyomolinos de León distrito 01;Renta media por persona ;2016;6.373
2100901 Arroyomolinos de León distrito 01;Renta media por persona ;2015;6.180
2100901 Arroyomolinos de León distrito 01;Renta media por hogar;2017;15.142
2100901 Arroyomolinos de León distrito 01;Renta media por hogar;2016;14.487
2100901 Arroyomolinos de León distrito 01;Renta media por hogar;2015;14.261
2100901001 Arroyomolinos de León sección 01001;Renta media por persona ;2017;6.667
2100901001 Arroyomolinos de León sección 01001;Renta media por persona ;2016;6.373
2100901001 Arroyomolinos de León sección 01001;Renta media por persona ;2015;6.180
2100901001 Arroyomolinos de León sección 01001;Renta media por hogar;2017;15.142
2100901001 Arroyomolinos de León sección 01001;Renta media por hogar;2016;14.487
2100901001 Arroyomolinos de León sección 01001;Renta media por hogar;2015;14.261
21010 Ayamonte;Renta media por persona ;2017;8.085
21010 Ayamonte;Renta media por persona ;2016;7.700
21010 Ayamonte;Renta media por persona ;2015;7.640
21010 Ayamonte;Renta media por hogar;2017;21.557
21010 Ayamonte;Renta media por hogar;2016;20.895
21010 Ayamonte;Renta media por hogar;2015;20.083
2101001 Ayamonte distrito 01;Renta media por persona ;2017;8.293
2101001 Ayamonte distrito 01;Renta media por persona ;2016;7.810
2101001 Ayamonte distrito 01;Renta media por persona ;2015;7.741
2101001 Ayamonte distrito 01;Renta media por hogar;2017;22.111
2101001 Ayamonte distrito 01;Renta media por hogar;2016;21.105
2101001 Ayamonte distrito 01;Renta media por hogar;2015;20.243
2101001001 Ayamonte sección 01001;Renta media por persona ;2017;9.563
2101001001 Ayamonte sección 01001;Renta media por persona ;2016;9.275
2101001001 Ayamonte sección 01001;Renta media por persona ;2015;9.457
2101001001 Ayamonte sección 01001;Renta media por hogar;2017;22.806
2101001001 Ayamonte sección 01001;Renta media por hogar;2016;22.823
2101001001 Ayamonte sección 01001;Renta media por hogar;2015;22.223
2101001002 Ayamonte sección 01002;Renta media por persona ;2017;8.003
2101001002 Ayamonte sección 01002;Renta media por persona ;2016;7.403
2101001002 Ayamonte sección 01002;Renta media por persona ;2015;7.414
