"codigo_muni","Provincia","Municipio","RMEs","RMEs_IC95_inf","RMEs_IC95_sup","Probs","Rank"
"03115","Alicante/Alacant","Sagra",98.4387524366472,83.83125,115.2125,0.402534113060429,1838
"03116","Alicante/Alacant","Salinas",84.6008674463938,74.09,96.12,0.00487329434697856,4448
"03117","Alicante/Alacant","Sanet y Negrals",102.234269005848,86.9125,120.2,0.594541910331384,1304
"03118","Alicante/Alacant","San Fulgencio",64.4793274853801,60.265,68.74,0,7823
"03119","Alicante/Alacant","Sant Joan d'Alacant",107.932261208577,103.2,112.5,1,737
"03120","Alicante/Alacant","San Miguel de Salinas",72.8928947368421,67.435,78.33375,0,6886
"03121","Alicante/Alacant","Santa Pola",100.757894736842,96.77875,104.6,0.644249512670565,1495
"03122","Alicante/Alacant","San Vicente del Raspeig/Sant Vicent del Raspeig",97.9665497076023,94.95875,101,0.0896686159844055,1910
"03123","Alicante/Alacant","Sax",97.9758187134503,91.9,103.9,0.256335282651072,1908
"03124","Alicante/Alacant","Sella",99.0434210526316,86.22125,113.4375,0.437621832358674,1748
"03125","Alicante/Alacant","Senija",96.5816471734893,81.94125,112.275,0.325536062378168,2130
"03127","Alicante/Alacant","Tàrbena",92.3600389863548,80.96625,104.975,0.114035087719298,2868
"03128","Alicante/Alacant","Teulada",59.7907504873294,56.29875,63.175,0,8008
"03129","Alicante/Alacant","Tibi",80.4055750487329,70.14625,90.9075,0,5369
"03130","Alicante/Alacant","Tollos",92.5100877192983,73.71125,114,0.230994152046784,2841
"03131","Alicante/Alacant","Tormos",87.3554385964912,73.9225,102.5125,0.0555555555555556,3850
"03132","Alicante/Alacant","Torremanzanas/Torre de les Maçanes, la",97.2966276803119,84.2675,111.3,0.339181286549708,2017
"03133","Alicante/Alacant","Torrevieja",82.6600487329435,80.80625,84.47125,0,4861
"03134","Alicante/Alacant","Vall d'Alcalà, la",77.267134502924,62.98625,92.47125,0.00487329434697856,6054
"03135","Alicante/Alacant","Vall d'Ebo, la",90.9292202729045,77.35125,105.7,0.108187134502924,3148
"03136","Alicante/Alacant","Vall de Gallinera",84.3304678362573,72.7075,96.42,0.00389863547758285,4517
