Unidades territoriales;Indicadores de renta media;Periodo;Total
1801601001 Almegíjar sección 01001;Renta media por persona ;2015;9.782
1801601001 Almegíjar sección 01001;Renta media por hogar;2017;18.098
1801601001 Almegíjar sección 01001;Renta media por hogar;2016;17.733
1801601001 Almegíjar sección 01001;Renta media por hogar;2015;19.783
18017 Almuñécar;Renta media por persona ;2017;7.950
18017 Almuñécar;Renta media por persona ;2016;7.360
18017 Almuñécar;Renta media por persona ;2015;7.243
18017 Almuñécar;Renta media por hogar;2017;20.746
18017 Almuñécar;Renta media por hogar;2016;19.820
18017 Almuñécar;Renta media por hogar;2015;19.308
1801701 Almuñécar distrito 01;Renta media por persona ;2017;8.060
1801701 Almuñécar distrito 01;Renta media por persona ;2016;7.481
1801701 Almuñécar distrito 01;Renta media por persona ;2015;7.383
1801701 Almuñécar distrito 01;Renta media por hogar;2017;21.272
1801701 Almuñécar distrito 01;Renta media por hogar;2016;20.342
1801701 Almuñécar distrito 01;Renta media por hogar;2015;19.864
1801701001 Almuñécar sección 01001;Renta media por persona ;2017;7.766
1801701001 Almuñécar sección 01001;Renta media por persona ;2016;7.302
1801701001 Almuñécar sección 01001;Renta media por persona ;2015;7.263
1801701001 Almuñécar sección 01001;Renta media por hogar;2017;21.239
1801701001 Almuñécar sección 01001;Renta media por hogar;2016;20.219
1801701001 Almuñécar sección 01001;Renta media por hogar;2015;20.218
1801701002 Almuñécar sección 01002;Renta media por persona ;2017;7.312
1801701002 Almuñécar sección 01002;Renta media por persona ;2016;6.874
1801701002 Almuñécar sección 01002;Renta media por persona ;2015;6.869
1801701002 Almuñécar sección 01002;Renta media por hogar;2017;18.152
1801701002 Almuñécar sección 01002;Renta media por hogar;2016;18.075
1801701002 Almuñécar sección 01002;Renta media por hogar;2015;18.078
1801701003 Almuñécar sección 01003;Renta media por persona ;2017;6.591
1801701003 Almuñécar sección 01003;Renta media por persona ;2016;5.923
1801701003 Almuñécar sección 01003;Renta media por persona ;2015;5.815
1801701003 Almuñécar sección 01003;Renta media por hogar;2017;18.131
1801701003 Almuñécar sección 01003;Renta media por hogar;2016;16.577
1801701003 Almuñécar sección 01003;Renta media por hogar;2015;16.548
1801701004 Almuñécar sección 01004;Renta media por persona ;2017;7.156
1801701004 Almuñécar sección 01004;Renta media por persona ;2016;6.792
1801701004 Almuñécar sección 01004;Renta media por persona ;2015;6.520
1801701004 Almuñécar sección 01004;Renta media por hogar;2017;21.428
1801701004 Almuñécar sección 01004;Renta media por hogar;2016;20.555
1801701004 Almuñécar sección 01004;Renta media por hogar;2015;19.634
1801701005 Almuñécar sección 01005;Renta media por persona ;2017;8.562
1801701005 Almuñécar sección 01005;Renta media por persona ;2016;7.807
1801701005 Almuñécar sección 01005;Renta media por persona ;2015;8.074
1801701005 Almuñécar sección 01005;Renta media por hogar;2017;23.716
1801701005 Almuñécar sección 01005;Renta media por hogar;2016;22.549
1801701005 Almuñécar sección 01005;Renta media por hogar;2015;22.926
1801701006 Almuñécar sección 01006;Renta media por persona ;2017;9.726
1801701006 Almuñécar sección 01006;Renta media por persona ;2016;9.203
